"chapter","section","topic","menu","name_1e","name_2","name_2_raw","signature"
"5","5.2.2","Display a dataset","Data|Display","(print)","xdisplay","xdisplay","xdisplay(net, relation=NULL)"
"5","5.4","Import network data (any format)","Data|Import; Data|Data Editors|DL Editor","xCreateProject, xAddToProject","xread","xread","xread(file, filetype=NULL, layout=c(""matrix"",""edgelist"",""nodelist""), labels=TRUE, ...)"
"5","5.4","Project bundle","(UCINET folder of files)","xCreateProject, xAddToProject","xcreateproject","xcreateproject, xaddtoproject","xcreateproject(name); xaddtoproject(project, net, attributes)"
"5","5.4.1","Adjacency matrix -> network","File|Save Ucinet (DL editor)","xAddToProject","as_xucinet","as_xucinet","as_xucinet(x, directed=NULL, mode=NULL, title=NULL)"
"5","5.4.2","Edgelist -> network","File|Save Ucinet (DL editor)","xAddToProject","xfromedgelist","xfromedgelist","xfromedgelist(df, from=1, to=2, weight=NULL, directed=NULL)"
"5","5.4.3","Nodelist -> network","File|Save Ucinet (DL editor)","xAddToProject","xfromnodelist","xfromnodelist","xfromnodelist(df, ego=1, directed=TRUE)"
"5","5.4.4","Attribute data; align node order","Data|Match Datasets","xAddToProject","xmatch","xmatch","xmatch(net, attributes, by=""rownames"")"
"5","5.4.5","Two-mode data import","(Data|Import)","xAddToProject","xread","xread / as_xucinet","as_xucinet(x, mode=""2-mode"")"
"5","5.4.6","Multirelational datasets: join, unpack, time-stack","Data|Join|Join Matrices; Data|Unpack; Transform|Timestack","(none)","xjoin","xjoin, xunpack","xjoin(..., names=NULL); xunpack(net, relation=)"
"5","5.5.1","Dichotomize (incl. interactive: by density / max correlation)","Transform|Dichotomize; Transform|Dichotomize Interactive","xTieDichotomize (ASNR overview: xDichotomize)","xdichotomize","xdichotomize","xdichotomize(net, cutoff=NULL, op="">"", density=NULL, method=c(""value"",""density"",""maxcor""))"
"5","5.5.2","Combine relations (min/max/sum/mean)","(Transform|Symmetrize logic; no direct menu)","xTieCombine","xcombine","xcombine","xcombine(net, relations=NULL, method=c(""min"",""max"",""sum"",""mean""))"
"5","5.5.2","Correlate matrices; factor analysis of relations","Tools|Similarities & Distances; Tools|Scaling/Decomposition|Factor Analysis","xQAPCorrelation","xsimilarities","xsimilarities","xsimilarities(net, method=c(""correlation"",""euclidean"",""match"",""jaccard""), by=c(""rows"",""cols"",""relations""))"
"5","5.5.3","Transpose","Transform|Transpose","xTieTranspose (overview: xTranspose)","xtranspose","xtranspose","xtranspose(net)"
"5","5.5.4","Symmetrize","Transform|Symmetrize","xTieSymmetrize (overview: xSymmetrize)","xsymmetrize","xsymmetrize","xsymmetrize(net, method=c(""max"",""min"",""sum"",""mean"",""upper"",""lower""))"
"5","5.5.5","Impute missing ties","Transform|Znidarsic et al Missing Data Imputation","xImputeMissingData","ximpute","ximpute","ximpute(net, method=c(""reconstruction"",""zero"",""mean"",...))"
"5","5.5.6","Normalize","Transform|Normalize","xTieNormalization (overview: xNormalize)","xnormalize","xnormalize","xnormalize(net, by=c(""rows"",""cols"",""matrix""), method=c(""sum"",""max"",""mean"",""zscore"",""euclidean""))"
"5","5.5.7","Geodesic distances","Network|Dyadic Measures|Geodesic Distances","xGeodesicDistance","xgeodesic","xgeodesic","xgeodesic(net, directed=NULL, unreachable=NA)"
"5","5.5.8","Combine nodes by attribute (aggregate)","Network|Mixing Tables/Density by Groups","xCombineNodes","xcombinenodes","xcombinenodes","xcombinenodes(net, attribute, method=c(""sum"",""mean"",""density"",""max""))"
"5","5.6","Attribute to matrix","Data|Attribute To Matrix","xAttributeToMatrix","xattributetomatrix","xattributetomatrix","xattributetomatrix(attribute, method=c(""same"",""diff"",""absdiff"",""sum"",""product"",""sender"",""receiver""))"
"5","5.7.2","Export to file","Data|Export|CSV; Data|Export|Excel; File|Save Ucinet","(save / write.csv)","xsave","xsave, xwrite","xsave(net, file, filetype=c(""uci"",""ucinet"",""dl"",""csv"",""xlsx"",""vna""))"
"5","5.7.3 (ASNR)","Convert to igraph / network / tidygraph","(none)","xConvertData","as_igraph","as_igraph, as_network, as_tbl_graph","as_igraph(net)"
"5","5.9","Recode values","Transform|Recode","(none)","xrecode","xrecode","xrecode(net, from=, to=)"
"5","5.9","Multiplex (combine relations into one coded matrix)","Transform|Graph Theoretic|Multiplex","(none)","xmultiplex","xmultiplex","xmultiplex(net)"
"6","6.2","Multidimensional scaling","Tools|Scaling/Decomposition|Metric MDS / Non-metric MDS","xMDS","xmds","xmds","xmds(net, method=c(""metric"",""nonmetric""), dims=2, plot=TRUE)"
"6","6.3","Correspondence analysis","Tools|Scaling/Decomposition|Correspondence Analysis","xCorrespondenceAnalysis","xcorrespondence","xcorrespondence","xcorrespondence(net, dims=2, plot=TRUE)"
"6","6.4","Johnson's hierarchical clustering","Tools|Cluster Analysis|Johnson's Hierarchical","xHierarchicalClustering (0.x: xHierarchicalCluster)","xhclust","xhclust","xhclust(x, method=c(""average"",""single"",""complete""), k=NULL, plot=TRUE)"
"7","7.2–7.5","Draw a network (layouts, node/tie attributes, filtering)","NetDraw (all of ch 7)","(igraph plot in ASNR)","xplot","xplot","xplot(net, layout=, node_color=, node_size=, node_shape=, label=, edge_width=, keep=, ego=, interactive=FALSE)"
"7","7.6","Visualizing network change (new in 3e)","NetDraw; Tools|Correlation","(none)","xplot","xplot (repeated layout)","xplot(net2, layout=xlayout(net1))"
"7","7.7","Exporting visualizations (new in 3e)","File|Save Diagram As; File|Print","(none)","ggsave","(ggsave)","ggsave(""fig.png"")"
"8","8.2","Egonet tie composition (degree per relation, heterogeneity)","Network|Ego Networks|Egonet Tie Composition","xTieComposition","xtiecomposition","xtiecomposition","xtiecomposition(net, relations=NULL)"
"8","8.3","Valued tie composition","Network|Ego Networks|Egonet Valued Tie Composition","xValuedTieComposition","xvaluedtiecomposition","xvaluedtiecomposition","xvaluedtiecomposition(net, direction=c(""out"",""in""))"
"8","8.4.1–8.4.2","Alter composition, categorical and continuous","Network|Ego Networks|Egonet Alter Composition|Categorical / Continuous","xAlterCompositionCat, xAlterCompositionCon","xaltercomposition","xaltercomposition","xaltercomposition(net, attribute, type=NULL)"
"8","8.5.1–8.5.2","Ego–alter similarity (homophily), categorical and continuous","Network|Ego Networks|Ego-Alter Similarity|Categorical / Continuous","xEgoAlterSimilarityCat, xEgoAlterSimilarityCon","xegoaltersimilarity","xegoaltersimilarity","xegoaltersimilarity(net, attribute, type=NULL)"
"8","8.6.1","Structural holes (constraint, effective size, efficiency, hierarchy)","Network|Ego Networks|Structural Holes","xStructuralHoles","xstructuralholes","xstructuralholes","xstructuralholes(net, directed=NULL)"
"8","8.6.2","Egonet basic measures (size, ties, density, components, ...)","Network|Ego Networks|Egonet Basic Measures","xEgonetStructure","xegonet","xegonet","xegonet(net, directed=NULL, include_ego=FALSE)"
"9","13 / 9","Two-mode centrality","Network|2-mode Networks|2-mode Centrality","(none)","xdegree","xdegree etc. with mode=","xdegree(net, mode=""both"")"
"9","9 (all)","Multiple centrality measures in one table","Network|Centrality|Multiple Measures","(none)","xcentrality","xcentrality","xcentrality(net, measures=c(""degree"",""closeness"",""betweenness"",""eigenvector""))"
